onset	duration	sample	trial_type	response_time	stim_file	value
0.0120000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
3.3440000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
6.9480000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
12.2680000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
18.7600000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
32.7620000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
37.8420000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
45.6520000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
48.3580000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
54.7640000000	n/a	n/a	STATUS	n/a	n/a	keyboard0
83.7140000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
84.0640000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
84.5640000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
85.0820000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
85.5820000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
85.9160000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
86.2660000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
86.7660000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
87.2840000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
87.7840000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
88.1180000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
88.4680000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
88.9680000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
89.4860000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
89.9860000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
90.3200000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
90.6700000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
91.1720000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
91.6880000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
92.1880000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
92.5220000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
92.8720000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
93.3740000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
93.8900000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
94.3920000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
94.7240000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
95.0740000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
95.5760000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
96.0920000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
96.5940000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
96.9260000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
97.2780000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
97.7780000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
98.2940000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
98.7960000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
99.1300000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
99.4800000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
99.9800000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
100.4960000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
100.9980000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
101.3320000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
101.6820000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
102.1820000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
102.6980000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
103.2000000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
103.5340000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
103.8840000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
104.3840000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
104.9020000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
105.4020000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
105.7360000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
106.0860000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
106.5860000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
107.1040000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
107.6040000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
107.9380000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
108.2880000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
108.7880000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
109.3060000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
109.8060000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
110.1400000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
110.4920000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
110.9920000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
111.5080000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
112.0080000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
112.3420000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
112.6940000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
113.1940000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
113.7100000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
114.2100000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
114.5440000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
114.8960000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
115.3960000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
115.9140000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
116.4140000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
116.7480000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
117.0980000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
117.5980000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
118.1160000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
118.6160000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
118.9500000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
119.3000000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
119.8000000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
120.3180000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
120.8180000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
121.1520000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
121.5020000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
122.0020000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
122.5200000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
123.0200000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
123.3540000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
123.7040000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
124.2040000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
