onset	duration	sample	trial_type	response_time	stim_file	value
22.4300000000	n/a	n/a	STATUS	n/a	n/a	17
22.4800000000	n/a	n/a	STATUS	n/a	n/a	11
22.8300000000	n/a	n/a	STATUS	n/a	n/a	1
23.3300000000	n/a	n/a	STATUS	n/a	n/a	1
23.8480000000	n/a	n/a	STATUS	n/a	n/a	1
24.3480000000	n/a	n/a	STATUS	n/a	n/a	1
24.6820000000	n/a	n/a	STATUS	n/a	n/a	11
25.0320000000	n/a	n/a	STATUS	n/a	n/a	1
25.5340000000	n/a	n/a	STATUS	n/a	n/a	1
26.0500000000	n/a	n/a	STATUS	n/a	n/a	1
26.5500000000	n/a	n/a	STATUS	n/a	n/a	1
26.8840000000	n/a	n/a	STATUS	n/a	n/a	11
27.2340000000	n/a	n/a	STATUS	n/a	n/a	1
27.7360000000	n/a	n/a	STATUS	n/a	n/a	1
28.2520000000	n/a	n/a	STATUS	n/a	n/a	1
28.7520000000	n/a	n/a	STATUS	n/a	n/a	1
29.0860000000	n/a	n/a	STATUS	n/a	n/a	11
29.4360000000	n/a	n/a	STATUS	n/a	n/a	1
29.9380000000	n/a	n/a	STATUS	n/a	n/a	1
30.4540000000	n/a	n/a	STATUS	n/a	n/a	1
30.9560000000	n/a	n/a	STATUS	n/a	n/a	1
31.2900000000	n/a	n/a	STATUS	n/a	n/a	11
31.6400000000	n/a	n/a	STATUS	n/a	n/a	1
32.1400000000	n/a	n/a	STATUS	n/a	n/a	1
32.6560000000	n/a	n/a	STATUS	n/a	n/a	1
33.1580000000	n/a	n/a	STATUS	n/a	n/a	1
33.4920000000	n/a	n/a	STATUS	n/a	n/a	11
33.8400000000	n/a	n/a	STATUS	n/a	n/a	1
34.3420000000	n/a	n/a	STATUS	n/a	n/a	1
34.8580000000	n/a	n/a	STATUS	n/a	n/a	1
35.3600000000	n/a	n/a	STATUS	n/a	n/a	1
35.6940000000	n/a	n/a	STATUS	n/a	n/a	11
36.0440000000	n/a	n/a	STATUS	n/a	n/a	1
36.5440000000	n/a	n/a	STATUS	n/a	n/a	1
37.0600000000	n/a	n/a	STATUS	n/a	n/a	1
37.5620000000	n/a	n/a	STATUS	n/a	n/a	1
37.8960000000	n/a	n/a	STATUS	n/a	n/a	11
38.2460000000	n/a	n/a	STATUS	n/a	n/a	1
38.7460000000	n/a	n/a	STATUS	n/a	n/a	1
39.2640000000	n/a	n/a	STATUS	n/a	n/a	1
39.7640000000	n/a	n/a	STATUS	n/a	n/a	1
40.0980000000	n/a	n/a	STATUS	n/a	n/a	11
40.4480000000	n/a	n/a	STATUS	n/a	n/a	1
40.9480000000	n/a	n/a	STATUS	n/a	n/a	1
41.4660000000	n/a	n/a	STATUS	n/a	n/a	1
41.9660000000	n/a	n/a	STATUS	n/a	n/a	1
42.3000000000	n/a	n/a	STATUS	n/a	n/a	11
42.6500000000	n/a	n/a	STATUS	n/a	n/a	1
43.1500000000	n/a	n/a	STATUS	n/a	n/a	1
43.6680000000	n/a	n/a	STATUS	n/a	n/a	1
44.1680000000	n/a	n/a	STATUS	n/a	n/a	1
44.5020000000	n/a	n/a	STATUS	n/a	n/a	11
44.8520000000	n/a	n/a	STATUS	n/a	n/a	1
45.3520000000	n/a	n/a	STATUS	n/a	n/a	1
45.8700000000	n/a	n/a	STATUS	n/a	n/a	1
46.3700000000	n/a	n/a	STATUS	n/a	n/a	1
46.7040000000	n/a	n/a	STATUS	n/a	n/a	11
47.0560000000	n/a	n/a	STATUS	n/a	n/a	1
47.5560000000	n/a	n/a	STATUS	n/a	n/a	1
48.0720000000	n/a	n/a	STATUS	n/a	n/a	1
48.5720000000	n/a	n/a	STATUS	n/a	n/a	1
48.9060000000	n/a	n/a	STATUS	n/a	n/a	11
49.2580000000	n/a	n/a	STATUS	n/a	n/a	1
49.7580000000	n/a	n/a	STATUS	n/a	n/a	1
50.2740000000	n/a	n/a	STATUS	n/a	n/a	1
50.7740000000	n/a	n/a	STATUS	n/a	n/a	1
51.1080000000	n/a	n/a	STATUS	n/a	n/a	11
51.4600000000	n/a	n/a	STATUS	n/a	n/a	1
51.9600000000	n/a	n/a	STATUS	n/a	n/a	1
52.4780000000	n/a	n/a	STATUS	n/a	n/a	1
52.9780000000	n/a	n/a	STATUS	n/a	n/a	1
53.3120000000	n/a	n/a	STATUS	n/a	n/a	11
53.6620000000	n/a	n/a	STATUS	n/a	n/a	1
54.1620000000	n/a	n/a	STATUS	n/a	n/a	1
54.6800000000	n/a	n/a	STATUS	n/a	n/a	1
55.1800000000	n/a	n/a	STATUS	n/a	n/a	1
55.5140000000	n/a	n/a	STATUS	n/a	n/a	11
55.8640000000	n/a	n/a	STATUS	n/a	n/a	1
56.3640000000	n/a	n/a	STATUS	n/a	n/a	1
56.8820000000	n/a	n/a	STATUS	n/a	n/a	1
57.3820000000	n/a	n/a	STATUS	n/a	n/a	1
57.7160000000	n/a	n/a	STATUS	n/a	n/a	11
58.0660000000	n/a	n/a	STATUS	n/a	n/a	1
58.5660000000	n/a	n/a	STATUS	n/a	n/a	1
59.0840000000	n/a	n/a	STATUS	n/a	n/a	1
59.5840000000	n/a	n/a	STATUS	n/a	n/a	1
59.9180000000	n/a	n/a	STATUS	n/a	n/a	11
60.2680000000	n/a	n/a	STATUS	n/a	n/a	1
60.7700000000	n/a	n/a	STATUS	n/a	n/a	1
61.2860000000	n/a	n/a	STATUS	n/a	n/a	1
61.7860000000	n/a	n/a	STATUS	n/a	n/a	1
62.1200000000	n/a	n/a	STATUS	n/a	n/a	11
62.4700000000	n/a	n/a	STATUS	n/a	n/a	1
62.9720000000	n/a	n/a	STATUS	n/a	n/a	1
63.4880000000	n/a	n/a	STATUS	n/a	n/a	1
63.9900000000	n/a	n/a	STATUS	n/a	n/a	1
64.3220000000	n/a	n/a	STATUS	n/a	n/a	11
64.6720000000	n/a	n/a	STATUS	n/a	n/a	1
65.1740000000	n/a	n/a	STATUS	n/a	n/a	1
65.6900000000	n/a	n/a	STATUS	n/a	n/a	1
66.1920000000	n/a	n/a	STATUS	n/a	n/a	1
66.5240000000	n/a	n/a	STATUS	n/a	n/a	11
66.8740000000	n/a	n/a	STATUS	n/a	n/a	1
67.3760000000	n/a	n/a	STATUS	n/a	n/a	1
67.8920000000	n/a	n/a	STATUS	n/a	n/a	1
68.3940000000	n/a	n/a	STATUS	n/a	n/a	1
68.7260000000	n/a	n/a	STATUS	n/a	n/a	11
69.0780000000	n/a	n/a	STATUS	n/a	n/a	1
69.5780000000	n/a	n/a	STATUS	n/a	n/a	1
70.0940000000	n/a	n/a	STATUS	n/a	n/a	1
70.5960000000	n/a	n/a	STATUS	n/a	n/a	1
70.9300000000	n/a	n/a	STATUS	n/a	n/a	11
71.2800000000	n/a	n/a	STATUS	n/a	n/a	1
71.7800000000	n/a	n/a	STATUS	n/a	n/a	1
72.2960000000	n/a	n/a	STATUS	n/a	n/a	1
72.7980000000	n/a	n/a	STATUS	n/a	n/a	1
73.1320000000	n/a	n/a	STATUS	n/a	n/a	11
73.4820000000	n/a	n/a	STATUS	n/a	n/a	1
73.9820000000	n/a	n/a	STATUS	n/a	n/a	1
74.5000000000	n/a	n/a	STATUS	n/a	n/a	1
75.0000000000	n/a	n/a	STATUS	n/a	n/a	1
75.3340000000	n/a	n/a	STATUS	n/a	n/a	11
75.6840000000	n/a	n/a	STATUS	n/a	n/a	1
76.1840000000	n/a	n/a	STATUS	n/a	n/a	1
76.7020000000	n/a	n/a	STATUS	n/a	n/a	1
77.2020000000	n/a	n/a	STATUS	n/a	n/a	1
77.5360000000	n/a	n/a	STATUS	n/a	n/a	11
77.8860000000	n/a	n/a	STATUS	n/a	n/a	1
78.3860000000	n/a	n/a	STATUS	n/a	n/a	1
78.9040000000	n/a	n/a	STATUS	n/a	n/a	1
79.4040000000	n/a	n/a	STATUS	n/a	n/a	1
79.7380000000	n/a	n/a	STATUS	n/a	n/a	11
80.0900000000	n/a	n/a	STATUS	n/a	n/a	1
80.5900000000	n/a	n/a	STATUS	n/a	n/a	1
81.1060000000	n/a	n/a	STATUS	n/a	n/a	1
81.6060000000	n/a	n/a	STATUS	n/a	n/a	1
81.9400000000	n/a	n/a	STATUS	n/a	n/a	11
82.2920000000	n/a	n/a	STATUS	n/a	n/a	1
82.7920000000	n/a	n/a	STATUS	n/a	n/a	1
83.3080000000	n/a	n/a	STATUS	n/a	n/a	1
83.8080000000	n/a	n/a	STATUS	n/a	n/a	1
84.1420000000	n/a	n/a	STATUS	n/a	n/a	11
84.4940000000	n/a	n/a	STATUS	n/a	n/a	1
84.9940000000	n/a	n/a	STATUS	n/a	n/a	1
85.5120000000	n/a	n/a	STATUS	n/a	n/a	1
86.0120000000	n/a	n/a	STATUS	n/a	n/a	1
86.3460000000	n/a	n/a	STATUS	n/a	n/a	11
86.6960000000	n/a	n/a	STATUS	n/a	n/a	1
87.1960000000	n/a	n/a	STATUS	n/a	n/a	1
87.7140000000	n/a	n/a	STATUS	n/a	n/a	1
88.2140000000	n/a	n/a	STATUS	n/a	n/a	1
88.7300000000	n/a	n/a	STATUS	n/a	n/a	1
89.2300000000	n/a	n/a	STATUS	n/a	n/a	1
115.6080000000	n/a	n/a	STATUS	n/a	n/a	12
115.9600000000	n/a	n/a	STATUS	n/a	n/a	2
116.4600000000	n/a	n/a	STATUS	n/a	n/a	2
116.9760000000	n/a	n/a	STATUS	n/a	n/a	2
117.4760000000	n/a	n/a	STATUS	n/a	n/a	2
117.8100000000	n/a	n/a	STATUS	n/a	n/a	12
118.1620000000	n/a	n/a	STATUS	n/a	n/a	2
118.6620000000	n/a	n/a	STATUS	n/a	n/a	2
119.1780000000	n/a	n/a	STATUS	n/a	n/a	2
119.6780000000	n/a	n/a	STATUS	n/a	n/a	2
120.0120000000	n/a	n/a	STATUS	n/a	n/a	12
120.3640000000	n/a	n/a	STATUS	n/a	n/a	2
120.8640000000	n/a	n/a	STATUS	n/a	n/a	2
121.3820000000	n/a	n/a	STATUS	n/a	n/a	2
121.8820000000	n/a	n/a	STATUS	n/a	n/a	2
122.2160000000	n/a	n/a	STATUS	n/a	n/a	12
122.5660000000	n/a	n/a	STATUS	n/a	n/a	2
123.0660000000	n/a	n/a	STATUS	n/a	n/a	2
123.5840000000	n/a	n/a	STATUS	n/a	n/a	2
124.0840000000	n/a	n/a	STATUS	n/a	n/a	2
124.4180000000	n/a	n/a	STATUS	n/a	n/a	12
124.7680000000	n/a	n/a	STATUS	n/a	n/a	2
125.2680000000	n/a	n/a	STATUS	n/a	n/a	2
125.7860000000	n/a	n/a	STATUS	n/a	n/a	2
126.2860000000	n/a	n/a	STATUS	n/a	n/a	2
126.6200000000	n/a	n/a	STATUS	n/a	n/a	12
126.9700000000	n/a	n/a	STATUS	n/a	n/a	2
127.4700000000	n/a	n/a	STATUS	n/a	n/a	2
127.9880000000	n/a	n/a	STATUS	n/a	n/a	2
128.4880000000	n/a	n/a	STATUS	n/a	n/a	2
128.8220000000	n/a	n/a	STATUS	n/a	n/a	12
129.1720000000	n/a	n/a	STATUS	n/a	n/a	2
129.6720000000	n/a	n/a	STATUS	n/a	n/a	2
130.1900000000	n/a	n/a	STATUS	n/a	n/a	2
130.6900000000	n/a	n/a	STATUS	n/a	n/a	2
131.0240000000	n/a	n/a	STATUS	n/a	n/a	12
131.3740000000	n/a	n/a	STATUS	n/a	n/a	2
131.8760000000	n/a	n/a	STATUS	n/a	n/a	2
132.3920000000	n/a	n/a	STATUS	n/a	n/a	2
132.8940000000	n/a	n/a	STATUS	n/a	n/a	2
133.2260000000	n/a	n/a	STATUS	n/a	n/a	12
133.5760000000	n/a	n/a	STATUS	n/a	n/a	2
134.0780000000	n/a	n/a	STATUS	n/a	n/a	2
134.5940000000	n/a	n/a	STATUS	n/a	n/a	2
135.0960000000	n/a	n/a	STATUS	n/a	n/a	2
135.4280000000	n/a	n/a	STATUS	n/a	n/a	12
135.7780000000	n/a	n/a	STATUS	n/a	n/a	2
136.2800000000	n/a	n/a	STATUS	n/a	n/a	2
136.7960000000	n/a	n/a	STATUS	n/a	n/a	2
137.2980000000	n/a	n/a	STATUS	n/a	n/a	2
137.6300000000	n/a	n/a	STATUS	n/a	n/a	12
137.9820000000	n/a	n/a	STATUS	n/a	n/a	2
138.4820000000	n/a	n/a	STATUS	n/a	n/a	2
138.9980000000	n/a	n/a	STATUS	n/a	n/a	2
139.5000000000	n/a	n/a	STATUS	n/a	n/a	2
139.8340000000	n/a	n/a	STATUS	n/a	n/a	12
140.1840000000	n/a	n/a	STATUS	n/a	n/a	2
140.6840000000	n/a	n/a	STATUS	n/a	n/a	2
141.2000000000	n/a	n/a	STATUS	n/a	n/a	2
141.7020000000	n/a	n/a	STATUS	n/a	n/a	2
142.0360000000	n/a	n/a	STATUS	n/a	n/a	12
142.3860000000	n/a	n/a	STATUS	n/a	n/a	2
142.8860000000	n/a	n/a	STATUS	n/a	n/a	2
143.4040000000	n/a	n/a	STATUS	n/a	n/a	2
143.9040000000	n/a	n/a	STATUS	n/a	n/a	2
144.2380000000	n/a	n/a	STATUS	n/a	n/a	12
144.5880000000	n/a	n/a	STATUS	n/a	n/a	2
145.0880000000	n/a	n/a	STATUS	n/a	n/a	2
145.6060000000	n/a	n/a	STATUS	n/a	n/a	2
146.1060000000	n/a	n/a	STATUS	n/a	n/a	2
146.4400000000	n/a	n/a	STATUS	n/a	n/a	12
146.7900000000	n/a	n/a	STATUS	n/a	n/a	2
147.2900000000	n/a	n/a	STATUS	n/a	n/a	2
147.8080000000	n/a	n/a	STATUS	n/a	n/a	2
148.3080000000	n/a	n/a	STATUS	n/a	n/a	2
148.6420000000	n/a	n/a	STATUS	n/a	n/a	12
148.9940000000	n/a	n/a	STATUS	n/a	n/a	2
149.4940000000	n/a	n/a	STATUS	n/a	n/a	2
150.0100000000	n/a	n/a	STATUS	n/a	n/a	2
150.5100000000	n/a	n/a	STATUS	n/a	n/a	2
150.8440000000	n/a	n/a	STATUS	n/a	n/a	12
151.1960000000	n/a	n/a	STATUS	n/a	n/a	2
151.6960000000	n/a	n/a	STATUS	n/a	n/a	2
152.2120000000	n/a	n/a	STATUS	n/a	n/a	2
152.7120000000	n/a	n/a	STATUS	n/a	n/a	2
153.0460000000	n/a	n/a	STATUS	n/a	n/a	12
153.3980000000	n/a	n/a	STATUS	n/a	n/a	2
153.8980000000	n/a	n/a	STATUS	n/a	n/a	2
154.4160000000	n/a	n/a	STATUS	n/a	n/a	2
154.9160000000	n/a	n/a	STATUS	n/a	n/a	2
155.2500000000	n/a	n/a	STATUS	n/a	n/a	12
155.6000000000	n/a	n/a	STATUS	n/a	n/a	2
156.1000000000	n/a	n/a	STATUS	n/a	n/a	2
156.6180000000	n/a	n/a	STATUS	n/a	n/a	2
157.1180000000	n/a	n/a	STATUS	n/a	n/a	2
157.4520000000	n/a	n/a	STATUS	n/a	n/a	12
157.8020000000	n/a	n/a	STATUS	n/a	n/a	2
158.3020000000	n/a	n/a	STATUS	n/a	n/a	2
158.8200000000	n/a	n/a	STATUS	n/a	n/a	2
159.3200000000	n/a	n/a	STATUS	n/a	n/a	2
159.6540000000	n/a	n/a	STATUS	n/a	n/a	12
160.0040000000	n/a	n/a	STATUS	n/a	n/a	2
160.5040000000	n/a	n/a	STATUS	n/a	n/a	2
161.0220000000	n/a	n/a	STATUS	n/a	n/a	2
161.5220000000	n/a	n/a	STATUS	n/a	n/a	2
161.8560000000	n/a	n/a	STATUS	n/a	n/a	12
162.2060000000	n/a	n/a	STATUS	n/a	n/a	2
162.7060000000	n/a	n/a	STATUS	n/a	n/a	2
163.2240000000	n/a	n/a	STATUS	n/a	n/a	2
163.7240000000	n/a	n/a	STATUS	n/a	n/a	2
164.0580000000	n/a	n/a	STATUS	n/a	n/a	12
164.4080000000	n/a	n/a	STATUS	n/a	n/a	2
164.9080000000	n/a	n/a	STATUS	n/a	n/a	2
165.4260000000	n/a	n/a	STATUS	n/a	n/a	2
165.9280000000	n/a	n/a	STATUS	n/a	n/a	2
166.2600000000	n/a	n/a	STATUS	n/a	n/a	12
166.6100000000	n/a	n/a	STATUS	n/a	n/a	2
167.1100000000	n/a	n/a	STATUS	n/a	n/a	2
167.6280000000	n/a	n/a	STATUS	n/a	n/a	2
168.1300000000	n/a	n/a	STATUS	n/a	n/a	2
168.4620000000	n/a	n/a	STATUS	n/a	n/a	12
168.8120000000	n/a	n/a	STATUS	n/a	n/a	2
169.3140000000	n/a	n/a	STATUS	n/a	n/a	2
169.8300000000	n/a	n/a	STATUS	n/a	n/a	2
170.3320000000	n/a	n/a	STATUS	n/a	n/a	2
170.6640000000	n/a	n/a	STATUS	n/a	n/a	12
171.0160000000	n/a	n/a	STATUS	n/a	n/a	2
171.5160000000	n/a	n/a	STATUS	n/a	n/a	2
172.0320000000	n/a	n/a	STATUS	n/a	n/a	2
172.5340000000	n/a	n/a	STATUS	n/a	n/a	2
172.8660000000	n/a	n/a	STATUS	n/a	n/a	12
173.2180000000	n/a	n/a	STATUS	n/a	n/a	2
173.7180000000	n/a	n/a	STATUS	n/a	n/a	2
174.2340000000	n/a	n/a	STATUS	n/a	n/a	2
174.7360000000	n/a	n/a	STATUS	n/a	n/a	2
175.0680000000	n/a	n/a	STATUS	n/a	n/a	12
175.4200000000	n/a	n/a	STATUS	n/a	n/a	2
175.9200000000	n/a	n/a	STATUS	n/a	n/a	2
176.4380000000	n/a	n/a	STATUS	n/a	n/a	2
176.9380000000	n/a	n/a	STATUS	n/a	n/a	2
177.2720000000	n/a	n/a	STATUS	n/a	n/a	12
177.6220000000	n/a	n/a	STATUS	n/a	n/a	2
178.1220000000	n/a	n/a	STATUS	n/a	n/a	2
178.6400000000	n/a	n/a	STATUS	n/a	n/a	2
179.1400000000	n/a	n/a	STATUS	n/a	n/a	2
179.4740000000	n/a	n/a	STATUS	n/a	n/a	12
179.8240000000	n/a	n/a	STATUS	n/a	n/a	2
180.3240000000	n/a	n/a	STATUS	n/a	n/a	2
180.8420000000	n/a	n/a	STATUS	n/a	n/a	2
181.3420000000	n/a	n/a	STATUS	n/a	n/a	2
181.8600000000	n/a	n/a	STATUS	n/a	n/a	2
182.3600000000	n/a	n/a	STATUS	n/a	n/a	2
193.9720000000	n/a	n/a	STATUS	n/a	n/a	14
194.3220000000	n/a	n/a	STATUS	n/a	n/a	4
194.8240000000	n/a	n/a	STATUS	n/a	n/a	4
195.3400000000	n/a	n/a	STATUS	n/a	n/a	4
195.8400000000	n/a	n/a	STATUS	n/a	n/a	4
196.1740000000	n/a	n/a	STATUS	n/a	n/a	14
196.5240000000	n/a	n/a	STATUS	n/a	n/a	4
197.0260000000	n/a	n/a	STATUS	n/a	n/a	4
197.5420000000	n/a	n/a	STATUS	n/a	n/a	4
198.0440000000	n/a	n/a	STATUS	n/a	n/a	4
198.3760000000	n/a	n/a	STATUS	n/a	n/a	14
198.7260000000	n/a	n/a	STATUS	n/a	n/a	4
199.2280000000	n/a	n/a	STATUS	n/a	n/a	4
199.7440000000	n/a	n/a	STATUS	n/a	n/a	4
200.2460000000	n/a	n/a	STATUS	n/a	n/a	4
