onset	duration	sample	trial_type	response_time	stim_file	value
1.8000000000	n/a	n/a	STATUS	n/a	n/a	boundary
26.5060000000	n/a	n/a	Start and Finish	n/a	n/a	17
26.5560000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
26.9060000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
27.4060000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
27.9240000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
28.4240000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
28.7580000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
29.1080000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
29.6100000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
30.1260000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
30.6280000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
30.9600000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
31.3100000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
31.8120000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
32.3280000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
32.8300000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
33.1620000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
33.5120000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
34.0140000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
34.5300000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
35.0320000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
35.3640000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
35.7160000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
36.2160000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
36.7320000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
37.2340000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
37.5680000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
37.9180000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
38.4180000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
38.9340000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
39.4360000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
39.7700000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
40.1200000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
40.6200000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
41.1380000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
41.6380000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
41.9720000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
42.3220000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
42.8220000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
43.3400000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
43.8400000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
44.1740000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
44.5240000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
45.0240000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
45.5420000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
46.0420000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
46.3760000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
46.7260000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
47.2280000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
47.7440000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
48.2440000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
48.5780000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
48.9300000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
49.4300000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
49.9460000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
50.4460000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
50.7800000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
51.1320000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
51.6320000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
52.1480000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
52.6500000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
52.9840000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
53.3340000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
53.8340000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
54.3520000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
54.8520000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
55.1860000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
55.5360000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
56.0360000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
56.5540000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
57.0540000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
57.3880000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
57.7380000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
58.2380000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
58.7560000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
59.2560000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
59.5900000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
59.9400000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
60.4400000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
60.9580000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
61.4580000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
61.7920000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
62.1420000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
62.6420000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
63.1600000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
63.6600000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
63.9940000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
64.3440000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
64.8440000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
65.3620000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
65.8640000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
66.1980000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
66.5460000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
67.0480000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
67.5640000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
68.0660000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
68.3980000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
68.7500000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
69.2500000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
69.7660000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
70.2680000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
70.6000000000	n/a	n/a	Eyes Open: Every 2000 ms	n/a	n/a	12
70.9520000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
71.4520000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
71.9680000000	n/a	n/a	Eyes Open: Every 500 ms	n/a	n/a	2
