onset	duration	sample	trial_type	response_time	stim_file	value
12.2780000000	n/a	n/a	STATUS	n/a	n/a	12
12.6300000000	n/a	n/a	STATUS	n/a	n/a	2
13.1300000000	n/a	n/a	STATUS	n/a	n/a	2
13.6460000000	n/a	n/a	STATUS	n/a	n/a	2
14.1460000000	n/a	n/a	STATUS	n/a	n/a	2
14.4800000000	n/a	n/a	STATUS	n/a	n/a	12
14.8320000000	n/a	n/a	STATUS	n/a	n/a	2
15.3320000000	n/a	n/a	STATUS	n/a	n/a	2
15.8480000000	n/a	n/a	STATUS	n/a	n/a	2
16.3480000000	n/a	n/a	STATUS	n/a	n/a	2
16.6820000000	n/a	n/a	STATUS	n/a	n/a	12
17.0340000000	n/a	n/a	STATUS	n/a	n/a	2
17.5340000000	n/a	n/a	STATUS	n/a	n/a	2
18.0520000000	n/a	n/a	STATUS	n/a	n/a	2
18.5520000000	n/a	n/a	STATUS	n/a	n/a	2
18.8860000000	n/a	n/a	STATUS	n/a	n/a	12
19.2360000000	n/a	n/a	STATUS	n/a	n/a	2
19.7360000000	n/a	n/a	STATUS	n/a	n/a	2
20.2540000000	n/a	n/a	STATUS	n/a	n/a	2
20.7540000000	n/a	n/a	STATUS	n/a	n/a	2
21.0880000000	n/a	n/a	STATUS	n/a	n/a	12
21.4380000000	n/a	n/a	STATUS	n/a	n/a	2
21.9380000000	n/a	n/a	STATUS	n/a	n/a	2
22.4560000000	n/a	n/a	STATUS	n/a	n/a	2
22.9560000000	n/a	n/a	STATUS	n/a	n/a	2
23.2900000000	n/a	n/a	STATUS	n/a	n/a	12
23.6400000000	n/a	n/a	STATUS	n/a	n/a	2
24.1400000000	n/a	n/a	STATUS	n/a	n/a	2
24.6580000000	n/a	n/a	STATUS	n/a	n/a	2
25.1580000000	n/a	n/a	STATUS	n/a	n/a	2
25.4920000000	n/a	n/a	STATUS	n/a	n/a	12
25.8420000000	n/a	n/a	STATUS	n/a	n/a	2
26.3420000000	n/a	n/a	STATUS	n/a	n/a	2
26.8600000000	n/a	n/a	STATUS	n/a	n/a	2
27.3600000000	n/a	n/a	STATUS	n/a	n/a	2
27.6940000000	n/a	n/a	STATUS	n/a	n/a	12
28.0440000000	n/a	n/a	STATUS	n/a	n/a	2
28.5460000000	n/a	n/a	STATUS	n/a	n/a	2
29.0620000000	n/a	n/a	STATUS	n/a	n/a	2
29.5640000000	n/a	n/a	STATUS	n/a	n/a	2
29.8960000000	n/a	n/a	STATUS	n/a	n/a	12
30.2460000000	n/a	n/a	STATUS	n/a	n/a	2
30.7480000000	n/a	n/a	STATUS	n/a	n/a	2
31.2640000000	n/a	n/a	STATUS	n/a	n/a	2
31.7660000000	n/a	n/a	STATUS	n/a	n/a	2
32.0980000000	n/a	n/a	STATUS	n/a	n/a	12
32.4480000000	n/a	n/a	STATUS	n/a	n/a	2
32.9500000000	n/a	n/a	STATUS	n/a	n/a	2
33.4660000000	n/a	n/a	STATUS	n/a	n/a	2
33.9680000000	n/a	n/a	STATUS	n/a	n/a	2
34.3000000000	n/a	n/a	STATUS	n/a	n/a	12
34.6520000000	n/a	n/a	STATUS	n/a	n/a	2
35.1520000000	n/a	n/a	STATUS	n/a	n/a	2
35.6680000000	n/a	n/a	STATUS	n/a	n/a	2
36.1700000000	n/a	n/a	STATUS	n/a	n/a	2
36.5020000000	n/a	n/a	STATUS	n/a	n/a	12
36.8540000000	n/a	n/a	STATUS	n/a	n/a	2
37.3540000000	n/a	n/a	STATUS	n/a	n/a	2
37.8720000000	n/a	n/a	STATUS	n/a	n/a	2
38.3720000000	n/a	n/a	STATUS	n/a	n/a	2
38.7060000000	n/a	n/a	STATUS	n/a	n/a	12
39.0560000000	n/a	n/a	STATUS	n/a	n/a	2
39.5560000000	n/a	n/a	STATUS	n/a	n/a	2
40.0740000000	n/a	n/a	STATUS	n/a	n/a	2
40.5740000000	n/a	n/a	STATUS	n/a	n/a	2
40.9080000000	n/a	n/a	STATUS	n/a	n/a	12
41.2580000000	n/a	n/a	STATUS	n/a	n/a	2
41.7580000000	n/a	n/a	STATUS	n/a	n/a	2
42.2760000000	n/a	n/a	STATUS	n/a	n/a	2
42.7760000000	n/a	n/a	STATUS	n/a	n/a	2
43.1100000000	n/a	n/a	STATUS	n/a	n/a	12
43.4600000000	n/a	n/a	STATUS	n/a	n/a	2
43.9620000000	n/a	n/a	STATUS	n/a	n/a	2
44.4780000000	n/a	n/a	STATUS	n/a	n/a	2
44.9780000000	n/a	n/a	STATUS	n/a	n/a	2
45.3120000000	n/a	n/a	STATUS	n/a	n/a	12
45.6620000000	n/a	n/a	STATUS	n/a	n/a	2
46.1640000000	n/a	n/a	STATUS	n/a	n/a	2
46.6800000000	n/a	n/a	STATUS	n/a	n/a	2
47.1800000000	n/a	n/a	STATUS	n/a	n/a	2
47.5140000000	n/a	n/a	STATUS	n/a	n/a	12
47.8640000000	n/a	n/a	STATUS	n/a	n/a	2
48.3660000000	n/a	n/a	STATUS	n/a	n/a	2
48.8840000000	n/a	n/a	STATUS	n/a	n/a	2
49.3840000000	n/a	n/a	STATUS	n/a	n/a	2
49.7180000000	n/a	n/a	STATUS	n/a	n/a	12
50.0680000000	n/a	n/a	STATUS	n/a	n/a	2
50.5680000000	n/a	n/a	STATUS	n/a	n/a	2
51.0860000000	n/a	n/a	STATUS	n/a	n/a	2
51.5860000000	n/a	n/a	STATUS	n/a	n/a	2
51.9200000000	n/a	n/a	STATUS	n/a	n/a	12
52.2700000000	n/a	n/a	STATUS	n/a	n/a	2
52.7700000000	n/a	n/a	STATUS	n/a	n/a	2
53.2880000000	n/a	n/a	STATUS	n/a	n/a	2
53.7880000000	n/a	n/a	STATUS	n/a	n/a	2
54.1220000000	n/a	n/a	STATUS	n/a	n/a	12
54.4720000000	n/a	n/a	STATUS	n/a	n/a	2
54.9720000000	n/a	n/a	STATUS	n/a	n/a	2
55.4900000000	n/a	n/a	STATUS	n/a	n/a	2
55.9900000000	n/a	n/a	STATUS	n/a	n/a	2
56.3240000000	n/a	n/a	STATUS	n/a	n/a	12
56.6740000000	n/a	n/a	STATUS	n/a	n/a	2
57.1740000000	n/a	n/a	STATUS	n/a	n/a	2
57.6920000000	n/a	n/a	STATUS	n/a	n/a	2
58.1920000000	n/a	n/a	STATUS	n/a	n/a	2
58.5260000000	n/a	n/a	STATUS	n/a	n/a	12
58.8760000000	n/a	n/a	STATUS	n/a	n/a	2
59.3760000000	n/a	n/a	STATUS	n/a	n/a	2
59.8940000000	n/a	n/a	STATUS	n/a	n/a	2
60.3940000000	n/a	n/a	STATUS	n/a	n/a	2
60.7280000000	n/a	n/a	STATUS	n/a	n/a	12
61.0780000000	n/a	n/a	STATUS	n/a	n/a	2
61.5780000000	n/a	n/a	STATUS	n/a	n/a	2
62.0960000000	n/a	n/a	STATUS	n/a	n/a	2
62.5960000000	n/a	n/a	STATUS	n/a	n/a	2
62.9300000000	n/a	n/a	STATUS	n/a	n/a	12
63.2800000000	n/a	n/a	STATUS	n/a	n/a	2
63.7800000000	n/a	n/a	STATUS	n/a	n/a	2
64.2980000000	n/a	n/a	STATUS	n/a	n/a	2
64.7980000000	n/a	n/a	STATUS	n/a	n/a	2
65.1320000000	n/a	n/a	STATUS	n/a	n/a	12
65.4840000000	n/a	n/a	STATUS	n/a	n/a	2
65.9840000000	n/a	n/a	STATUS	n/a	n/a	2
66.5000000000	n/a	n/a	STATUS	n/a	n/a	2
67.0020000000	n/a	n/a	STATUS	n/a	n/a	2
67.3340000000	n/a	n/a	STATUS	n/a	n/a	12
67.6860000000	n/a	n/a	STATUS	n/a	n/a	2
68.1860000000	n/a	n/a	STATUS	n/a	n/a	2
68.7040000000	n/a	n/a	STATUS	n/a	n/a	2
69.2040000000	n/a	n/a	STATUS	n/a	n/a	2
69.5360000000	n/a	n/a	STATUS	n/a	n/a	12
69.8880000000	n/a	n/a	STATUS	n/a	n/a	2
70.3880000000	n/a	n/a	STATUS	n/a	n/a	2
70.9060000000	n/a	n/a	STATUS	n/a	n/a	2
71.4060000000	n/a	n/a	STATUS	n/a	n/a	2
71.7400000000	n/a	n/a	STATUS	n/a	n/a	12
72.0900000000	n/a	n/a	STATUS	n/a	n/a	2
72.5900000000	n/a	n/a	STATUS	n/a	n/a	2
73.1080000000	n/a	n/a	STATUS	n/a	n/a	2
73.6080000000	n/a	n/a	STATUS	n/a	n/a	2
73.9420000000	n/a	n/a	STATUS	n/a	n/a	12
74.2920000000	n/a	n/a	STATUS	n/a	n/a	2
74.7920000000	n/a	n/a	STATUS	n/a	n/a	2
75.3100000000	n/a	n/a	STATUS	n/a	n/a	2
75.8100000000	n/a	n/a	STATUS	n/a	n/a	2
76.1440000000	n/a	n/a	STATUS	n/a	n/a	12
76.4960000000	n/a	n/a	STATUS	n/a	n/a	2
76.9960000000	n/a	n/a	STATUS	n/a	n/a	2
77.5120000000	n/a	n/a	STATUS	n/a	n/a	2
78.0120000000	n/a	n/a	STATUS	n/a	n/a	2
78.5300000000	n/a	n/a	STATUS	n/a	n/a	2
79.0300000000	n/a	n/a	STATUS	n/a	n/a	2
88.7580000000	n/a	n/a	STATUS	n/a	n/a	17
88.8080000000	n/a	n/a	STATUS	n/a	n/a	11
89.1580000000	n/a	n/a	STATUS	n/a	n/a	1
89.6580000000	n/a	n/a	STATUS	n/a	n/a	1
90.1760000000	n/a	n/a	STATUS	n/a	n/a	1
90.6760000000	n/a	n/a	STATUS	n/a	n/a	1
91.0100000000	n/a	n/a	STATUS	n/a	n/a	11
91.3600000000	n/a	n/a	STATUS	n/a	n/a	1
91.8600000000	n/a	n/a	STATUS	n/a	n/a	1
92.3780000000	n/a	n/a	STATUS	n/a	n/a	1
92.8780000000	n/a	n/a	STATUS	n/a	n/a	1
93.2120000000	n/a	n/a	STATUS	n/a	n/a	11
93.5620000000	n/a	n/a	STATUS	n/a	n/a	1
94.0620000000	n/a	n/a	STATUS	n/a	n/a	1
94.5800000000	n/a	n/a	STATUS	n/a	n/a	1
95.0800000000	n/a	n/a	STATUS	n/a	n/a	1
95.4140000000	n/a	n/a	STATUS	n/a	n/a	11
95.7640000000	n/a	n/a	STATUS	n/a	n/a	1
96.2640000000	n/a	n/a	STATUS	n/a	n/a	1
96.7820000000	n/a	n/a	STATUS	n/a	n/a	1
97.2820000000	n/a	n/a	STATUS	n/a	n/a	1
97.6160000000	n/a	n/a	STATUS	n/a	n/a	11
97.9660000000	n/a	n/a	STATUS	n/a	n/a	1
98.4660000000	n/a	n/a	STATUS	n/a	n/a	1
98.9840000000	n/a	n/a	STATUS	n/a	n/a	1
99.4860000000	n/a	n/a	STATUS	n/a	n/a	1
99.8180000000	n/a	n/a	STATUS	n/a	n/a	11
100.1680000000	n/a	n/a	STATUS	n/a	n/a	1
100.6680000000	n/a	n/a	STATUS	n/a	n/a	1
101.1860000000	n/a	n/a	STATUS	n/a	n/a	1
101.6880000000	n/a	n/a	STATUS	n/a	n/a	1
102.0200000000	n/a	n/a	STATUS	n/a	n/a	11
102.3700000000	n/a	n/a	STATUS	n/a	n/a	1
102.8720000000	n/a	n/a	STATUS	n/a	n/a	1
103.4280000000	n/a	n/a	STATUS	n/a	n/a	1
103.9120000000	n/a	n/a	STATUS	n/a	n/a	1
104.2460000000	n/a	n/a	STATUS	n/a	n/a	11
104.5960000000	n/a	n/a	STATUS	n/a	n/a	1
105.0960000000	n/a	n/a	STATUS	n/a	n/a	1
105.6140000000	n/a	n/a	STATUS	n/a	n/a	1
106.1140000000	n/a	n/a	STATUS	n/a	n/a	1
106.4480000000	n/a	n/a	STATUS	n/a	n/a	11
106.7980000000	n/a	n/a	STATUS	n/a	n/a	1
107.2980000000	n/a	n/a	STATUS	n/a	n/a	1
107.8160000000	n/a	n/a	STATUS	n/a	n/a	1
108.3160000000	n/a	n/a	STATUS	n/a	n/a	1
108.6500000000	n/a	n/a	STATUS	n/a	n/a	11
